        #height (Mm)       gravity (cm/s^2)          dP/dz                         density (g/cm^3)        dRho/dz                sound speed (cm/s)
        -24.92499924     -29468.78515625     -1.28889069E+02      4.37860284E-03     -3.17858912E-12        6.374719E+06
        -24.89999962     -29466.59960938     -1.28627426E+02      4.37066378E-03     -3.17282593E-12        6.370792E+06
        -24.87500000     -29464.41210938     -1.28383453E+02      4.36273916E-03     -3.16707316E-12        6.366862E+06
        -24.85000038     -29462.22656250     -1.28076523E+02      4.35482850E-03     -3.16340704E-12        6.362931E+06
        -24.82500076     -29460.04296875     -1.27842072E+02      4.34692204E-03     -3.16180936E-12        6.358997E+06
        -24.79999924     -29457.85742188     -1.27630310E+02      4.33901977E-03     -3.16019953E-12        6.355060E+06
        -24.77499962     -29455.67187500     -1.27423294E+02      4.33112122E-03     -3.15899043E-12        6.351119E+06
        -24.75000000     -29453.48828125     -1.27149338E+02      4.32322454E-03     -3.15611686E-12        6.347176E+06
        -24.72500038     -29451.30273438     -1.26908737E+02      4.31534043E-03     -3.15406512E-12        6.343230E+06
        -24.70000076     -29449.11718750     -1.26733765E+02      4.30745445E-03     -3.15364163E-12        6.339281E+06
        -24.67499924     -29446.93164062     -1.26525200E+02      4.29957220E-03     -3.15238092E-12        6.335329E+06
        -24.64999962     -29444.74804688     -1.26246887E+02      4.29169228E-03     -3.14987793E-12        6.331374E+06
        -24.62500000     -29442.56250000     -1.25944763E+02      4.28382307E-03     -3.14614502E-12        6.327418E+06
        -24.60000038     -29440.38085938     -1.25718102E+02      4.27596178E-03     -3.14404145E-12        6.323460E+06
        -24.57500076     -29438.19726562     -1.25508675E+02      4.26810281E-03     -3.14274041E-12        6.319498E+06
        -24.54999924     -29436.01367188     -1.25275101E+02      4.26024804E-03     -3.14183228E-12        6.315536E+06
        -24.52499962     -29433.83007812     -1.25012367E+02      4.25239373E-03     -3.14009517E-12        6.311568E+06
        -24.50000000     -29431.64843750     -1.24845642E+02      4.24454734E-03     -3.13794433E-12        6.307599E+06
        -24.47500038     -29429.46679688     -1.24634636E+02      4.23670374E-03     -3.13658995E-12        6.303627E+06
        -24.45000076     -29427.28320312     -1.24339882E+02      4.22886480E-03     -3.13522277E-12        6.299650E+06
        -24.42499924     -29425.10156250     -1.24115517E+02      4.22102772E-03     -3.13303550E-12        6.295673E+06
        -24.39999962     -29422.91992188     -1.23852165E+02      4.21319949E-03     -3.12963587E-12        6.291693E+06
        -24.37500000     -29420.73828125     -1.23612503E+02      4.20537964E-03     -3.12663458E-12        6.287712E+06
        -24.35000038     -29418.55664062     -1.23384697E+02      4.19756630E-03     -3.12482852E-12        6.283730E+06
        -24.32500076     -29416.37500000     -1.23100700E+02      4.18975530E-03     -3.12340908E-12        6.279745E+06
        -24.29999924     -29414.19335938     -1.22837616E+02      4.18194942E-03     -3.12038156E-12        6.275758E+06
        -24.27499962     -29412.01367188     -1.22574562E+02      4.17415332E-03     -3.11774911E-12        6.271769E+06
        -24.25000000     -29409.83398438     -1.22349480E+02      4.16636048E-03     -3.11590185E-12        6.267778E+06
        -24.22500038     -29407.65429688     -1.22199570E+02      4.15857416E-03     -3.11483781E-12        6.263784E+06
        -24.20000076     -29405.47460938     -1.21935883E+02      4.15078644E-03     -3.11335896E-12        6.259788E+06
        -24.17499924     -29403.29492188     -1.21635017E+02      4.14300710E-03     -3.11028980E-12        6.255788E+06
        -24.14999962     -29401.11523438     -1.21446671E+02      4.13523475E-03     -3.10800409E-12        6.251786E+06
        -24.12500000     -29398.93554688     -1.21257492E+02      4.12746705E-03     -3.10649596E-12        6.247782E+06
        -24.10000038     -29396.75585938     -1.21030807E+02      4.11970261E-03     -3.10575957E-12        6.243774E+06
        -24.07500076     -29394.57617188     -1.20766914E+02      4.11193864E-03     -3.10343569E-12        6.239764E+06
        -24.04999924     -29392.39843750     -1.20466202E+02      4.10418538E-03     -3.10032382E-12        6.235754E+06
        -24.02499962     -29390.21875000     -1.20276382E+02      4.09643678E-03     -3.09837724E-12        6.231740E+06
        -24.00000000     -29388.03906250     -1.20085884E+02      4.08869330E-03     -3.09680948E-12        6.227724E+06
        -23.97500038     -29385.86132812     -1.19748611E+02      4.08095261E-03     -3.09406016E-12        6.223708E+06
        -23.95000076     -29383.68359375     -1.19448761E+02      4.07322310E-03     -3.09053065E-12        6.219688E+06
        -23.92499924     -29381.50585938     -1.19294632E+02      4.06550011E-03     -3.08854808E-12        6.215667E+06
